IOF ID;First Name;Last Name;Country;WRS Position;WRS points;WRS events;Avg point
34866;Qi;Ye;CHN;1441;290;1;290.0
28581;Aleksandra;Mazan;POL;1442;289;2;144.5
1674;Pamela;Gaigher;ITA;1443;288;2;144.0
28353;Silvia;Minella;ITA;1443;288;3;96.0
1596;Eirin Mari;Fossoy;NOR;1445;287;1;287.0
6424;Anne;Wilkinson;USA;1446;283;2;141.5
28822;Lucija;Telisman;AUT;1446;283;1;283.0
5182;Maria Novella;Sbaraglia;ITA;1448;282;1;282.0
28334;Eriko;Teramura;JPN;1448;282;1;282.0
6269;Mariya;Vlassova;KAZ;1450;281;1;281.0
968;Ying Yau;Chu;HKG;1451;279;4;69.8
6336;Ingvild;Wang;NOR;1452;276;1;276.0
3768;Ana;Matkovic;SRB;1453;275;2;137.5
23835;Suyee;Wai;CHN;1454;273;1;273.0
845;Patricia;Casalinho;POR;1455;272;1;272.0
4803;Meghan;Rance;CAN;1456;270;2;135.0
22948;Selma;Cabri;TUR;1457;269;1;269.0
33670;Hilal;Oruc;TUR;1457;269;5;53.8
34293;Shiori;Yamamori;JPN;1459;268;3;89.3
36661;Anastasia;Kushnierova;UKR;1459;268;1;268.0
2436;Anna;Iniushina;RUS;1461;265;2;132.5
1238;Line;Drange Ruud;NOR;1462;264;1;264.0
20485;Elli;Hakkinen;FIN;1462;264;1;264.0
6048;Janeta;Turka;LAT;1464;261;3;87.0
1573;Erinna;Foley Fisher;GBR;1465;259;1;259.0
28195;Lotta;Sandroos;FIN;1466;258;1;258.0
522;Solveig;Blindheim;NOR;1467;254;1;254.0
28477;Claudine;Weber;SUI;1468;253;1;253.0
20053;Alessandra;Arrigoni;ITA;1469;251;2;125.5
25394;Manami;Murata;JPN;1469;251;3;83.7
28345;Giulia;Di Bernardo;ITA;1469;251;1;251.0
23991;Eleonore;Robinson;BEL;1472;249;4;62.3
6488;Szu Ying;Wu;TPE;1473;248;2;124.0
20488;Hanne;Kolehmainen;FIN;1474;247;1;247.0
19253;Marta;Perez;ESP;1475;240;3;80.0
25341;Hoi Yi;Law;HKG;1476;237;5;47.4
612;Estelle;Bouchan;FRA;1477;235;1;235.0
3443;Anni;Liimatainen;FIN;1478;234;1;234.0
22035;Helen;Pruzina;GBR;1479;233;2;116.5
24126;Klara;Hrabankova;CZE;1479;233;1;233.0
5680;Anca;Stupu;ROU;1481;232;1;232.0
28275;Vera;Chiusole;ITA;1482;229;1;229.0
748;Natallia;Krukava;BLR;1483;224;2;112.0
22932;Rachel;Caulfield;CAN;1484;223;1;223.0
33230;Wakana;Sakuma;JPN;1485;219;1;219.0
36954;Isabella;Tapper;SWE;1486;218;3;72.7
21540;Maryna;Karzhova;BLR;1487;215;1;215.0
25326;Moeko;Sano;JPN;1488;214;2;107.0
3749;Ana;Marusceac;MDA;1489;212;3;70.7
2192;Nelli;Hietaoja;FIN;1490;207;1;207.0
5831;Yuki;Takano;JPN;1491;206;2;103.0
36687;Sevda;Verdiyeva;AZE;1492;205;2;102.5
25899;Pavla Zdrahalova;De Oliveira;CZE;1493;204;3;68.0
32099;Ellie;Molloy;NZL;1494;203;1;203.0
34389;Ozge;Bozca;TUR;1495;202;3;67.3
1025;Stefania;Corradini;ITA;1496;199;1;199.0
4271;Shihoko;Ochiai;JPN;1496;199;1;199.0
25649;Hui;He;CHN;1496;199;2;99.5
3818;Jula;McMillan;NZL;1499;197;2;98.5
22455;Melinda;Ymsen;SWE;1499;197;1;197.0
20489;Paivi;Mikkolainen;FIN;1501;193;1;193.0
5341;Rozy;Shepherd;GBR;1502;191;1;191.0
33285;Emily;Ungermann;GER;1503;190;1;190.0
28241;Yan;Wang;CHN;1504;188;2;94.0
3812;Cliona;McCullough;IRL;1505;186;1;186.0
6009;Anastasia;Trifilenkova;RUS;1505;186;1;186.0
28419;Natallia;Homanava;BLR;1505;186;2;93.0
33223;Kaori;Ito;JPN;1505;186;1;186.0
32365;Vitalina;Dzhylai;UKR;1509;185;1;185.0
28778;Maija;Holopainen;FIN;1510;184;1;184.0
25626;Helen;Breslin;AUS;1511;181;1;181.0
1313;Thorlene;Egerton;AUS;1512;180;1;180.0
6642;Milena;Zolnaj;SRB;1512;180;3;60.0
4507;Erica;Perconti;ITA;1514;178;3;59.3
34150;Sianna;Dorsey;CAN;1515;176;1;176.0
4539;Dorthe;Kuhl Petersen;DEN;1516;172;3;57.3
33066;Noora;Kurri;FIN;1516;172;1;172.0
4556;Mariya;Petrushko;RUS;1518;169;1;169.0
25013;Maria;Soriano Ramal;ESP;1519;168;2;84.0
28114;Katie;Petersen;USA;1520;165;1;165.0
35069;Susan;Carter;GBR;1520;165;1;165.0
3889;Miriam;Carretero Miguel;ESP;1522;162;1;162.0
36611;Linnea;Gustafsson;SWE;1523;158;3;52.7
3854;Juliane Valeria;De Carvalho Mendonca;BRA;1524;156;3;52.0
24966;Chiara;Caglio;ITA;1524;156;2;78.0
25106;Tiia Maria;Rauttola;FIN;1526;155;2;77.5
2744;Karin;Karlsson;SWE;1527;152;1;152.0
28038;Anna;Efimenko;UKR;1527;152;1;152.0
1214;Olena;Dotsenko;UKR;1529;149;1;149.0
34340;Olga;Zlatoverova;RUS;1529;149;1;149.0
33245;Fumika;Sera;JPN;1531;146;1;146.0
659;Ingvild;Brekke;NOR;1532;145;1;145.0
19871;Luca;Nemeth;HUN;1533;141;1;141.0
5656;Virginia;DeBons;USA;1534;140;2;70.0
5093;Yoshiko;Sakai;JPN;1535;136;2;68.0
1986;Antonia;Haga;FIN;1536;133;1;133.0
33870;Elena;Bernardi;ITA;1537;132;4;33.0
36654;Hanna;Marchenko;UKR;1538;128;1;128.0
1750;Siliya;Gincheva;BUL;1539;127;2;63.5
32469;Elena;Vorchylo;UKR;1540;126;2;63.0
25537;Sarah;Righetti;GBR;1541;124;2;62.0
37169;Erica;Cavazzani;ITA;1541;124;1;124.0
6182;Veronika;Vavrova;SVK;1543;122;1;122.0
6339;Ting Hsuan;Wang;TPE;1544;121;3;40.3
34539;Amandine;Malengreau;BEL;1545;118;3;39.3
21849;Yasemin;Ozguler;TUR;1546;115;3;38.3
6272;Liudmila;Kisialiova;BLR;1547;111;1;111.0
23080;Rumiko;Ito;JPN;1548;110;1;110.0
4952;Marie Luce;Romanens;SUI;1549;100;1;100.0
2806;Regina;Kelly;IRL;1550;99;1;99.0
22377;Gaigher;Pamela;ITA;1551;96;3;32.0
345;Olivia;Baxter;IRL;1552;95;2;47.5
147;Nicole;Anedda;ITA;1553;93;2;46.5
36535;Aliona;Nigda;UKR;1554;82;1;82.0
24922;Maria;Pruss;ITA;1555;81;1;81.0
26341;Wing Sum;Lee;HKG;1556;78;2;39.0
36429;Sumeyra;Gokcul;TUR;1556;78;3;26.0
20457;Lou;Denaix;FRA;1558;77;2;38.5
26487;Hilal;Soker;TUR;1559;69;3;23.0
19881;Sophie;Harrison;NZL;1560;66;1;66.0
33311;Hasegawa;Mako;JPN;1561;64;1;64.0
655;Tjitske;Breimer;NED;1562;63;1;63.0
672;Stina;Bridgeman;USA;1562;63;2;31.5
28515;Aiga;Tarasova;LAT;1564;62;1;62.0
34105;Nikola;Thynova;CZE;1564;62;2;31.0
3361;Magali;Lefevre;FRA;1566;57;1;57.0
33171;Sayaka;Usui;JPN;1567;53;1;53.0
5664;Andressa Essy;Stribe;BRA;1568;50;5;10.0
21044;Ka Man;Leung;HKG;1568;50;5;10.0
28377;Maina;Faria Cunha de Jesus;BRA;1568;50;5;10.0
20302;Mervi;Potry;FIN;1571;47;1;47.0
28450;Barbara;Kmetec;SLO;1572;45;2;22.5
28089;Yuka;Kawamura;JPN;1573;43;2;21.5
33564;Ana Maria;Tudorache;ROU;1574;41;1;41.0
25481;Laryssa;Goncalves;BRA;1575;40;4;10.0
32874;Diana;Aleksieva;USA;1576;34;1;34.0
27133;Ciara;Silby;IRL;1577;32;2;16.0
928;Lai Kuen Mona;Cheung;HKG;1578;30;3;10.0
969;Peichi;Chuang;TPE;1578;30;3;10.0
26491;Sena;Pamuk;TUR;1578;30;4;7.5
27313;Tugce;Golgeli;TUR;1578;30;3;10.0
28105;Marcela Lacerda;Moreira;BRA;1578;30;3;10.0
28520;Hei tung;Leung;HKG;1578;30;3;10.0
29604;Elena;Stroganova;RUS;1578;30;1;30.0
30084;Sirlana;Medina;BRA;1578;30;5;6.0
32404;Esther;Marnet;BRA;1578;30;5;6.0
36141;Sibel;Akca;TUR;1578;30;3;10.0
36144;Kubra;Altun;TUR;1578;30;3;10.0
800;Sakire;Bilgin;TUR;1589;25;1;25.0
2777;Sandra;Katinaite;LTU;1589;25;1;25.0
33926;Celia;Gigout;FRA;1589;25;1;25.0
6322;Emily;Forne;NZL;1592;24;1;24.0
5;Zeynep;Abali;TUR;1593;20;3;6.7
930;Wei Ki Rainky;Cheung;HKG;1593;20;2;10.0
3736;Andreia;Da Silva Martins;BRA;1593;20;2;10.0
5295;Evelyn Karin;Serenesk...;BRA;1593;20;3;6.7
5956;Natasa;Todosic;SRB;1593;20;2;10.0
6460;Wai Ching Vickie;Wong;HKG;1593;20;3;6.7
